ISIN_No,BSE_Scrip_Code,BSE_Scrip_Id,BSE_Scrip_Name,NSE_ID,Nse_Name,Sector,Industry,Quandl_Code
INE049A01027,514043,HIMATSEIDE,HIMATSINGKA SEIDE LTD.,HIMATSEIDE,Himatsingka Seide Limited,Textiles,Silk Textiles,HIMATSEIDE
INE227B01019,531979,HINDALUMI,HIND ALUMINIUM INDUSTRIES LTD.-$,NM,NM,Metals,Aluminium Prod.,HINDALUMI
INE691J01019,538652,HCLTD,Hind Commerce Ltd,NM,NM,Financial,Invest.Services,HCLTD
INE675B01019,526307,HINDIND,HIND INDUSTRIES LTD.,HINDIND,Hind Industries Ltd,FMCG,Poultry & meat prod.,HINDIND
INE835D01023,504036,HIRECT,HIND RECTIFIERS LTD.,HIRECT,Hind Rectifiers Limited,Engineering,Electronic Components,HIRECT
INE727Q01016,539114,HINDSECR,Hind Securities &amp; Credits Ltd,NM,NM,Financial,Invest.Services,HINDSECR
INE155B01012,503881,HINDSYNTEX,HIND SYNTEX LTD.,HINDSYNTEX,Hind Syntex Limited,Textiles,Cotton & Blended Yarn,HINDSYNTEX
INE038A01020,500440,HINDALCO,HINDALCO INDUSTRIES LTD.,HINDALCO,Hindalco Industries Limited,Metals,Aluminium Prod.,HINDALCO
INE832D01020,509895,HINDMILL,HINDOOSTAN MILLS LTD.,NM,NM,Financial,Equipt.Leasing,HINDMILL
INE291F01016,505982,HINDUJAFO,HINDUJA FOUNDRIES LTD.-$,HINDUJAFO,Hinduja Foundries Limited,Automobile,Auto Ancillaries,HINDUJAFO
INE170I01016,532859,HGS,HINDUJA GLOBAL SOLUTIONS LTD.,HGS,Hinduja Global Solutions Limited,Technology,BPO Services,HGS
INE353A01023,500189,HINDUJAVEN,HINDUJA VENTURES LTD.,HINDUJAVEN,Hinduja Ventures Limited,Communication,Communication Equipt.,HINDUJAVEN
INE074C01013,514428,HINDADH,HINDUSTAN ADHESIVES LTD.,NM,NM,Chemicals,Other Plastic Prod.,HINDADH
INE220D01010,531918,HINDAPL,HINDUSTAN APPLIANCES LTD.,NM,NM,Financial,Invest.Services,HINDAPL
INE597C01013,532041,HINDBIO,HINDUSTAN BIO SCIENCES LTD.,NM,NM,Technology,Computer Software,HINDBIO
INE310C01011,509635,HINDCOMPOS,HINDUSTAN COMPOSITES LTD.,HINDCOMPOS,Hindustan Composites Limited,Automobile,Auto Ancillaries,HINDCOMPOS
INE549A01026,500185,HCC,HINDUSTAN CONSTRUCTION CO.LTD.,HCC,Hindustan Construction Company Limited,Construction,Construction,HCC
INE531E01026,513599,HINDCOPPER,HINDUSTAN COPPER LTD.,HINDCOPPER,Hindustan Copper Limited,Metals,Other Non-Ferrous Metal,HINDCOPPER
INE551A01022,509627,HINDDORROL,HINDUSTAN DORR-OLIVER LTD.,HINDDORROL,Hindustan Dorr-Oliver Limited,Engineering,Industrial Machinery,HINDDORROL
INE598D01019,505725,HINDEVER,HINDUSTAN EVEREST TOOLS LTD.,NM,NM,Metals,Other Metal prod.,HINDEVER
INE806J01013,524013,HINFLUR,HINDUSTAN FLUOROCARBONS LTD.,NM,NM,Chemicals,Thermoplastics,HINFLUR
INE254N01018,519126,HNDFDS,HINDUSTAN FOODS LTD.,NM,NM,FMCG,Food Processing,HNDFDS
INE724D01011,505893,HINDHARD,HINDUSTAN HARDY SPICER LTD.,NM,NM,Automobile,Auto Ancillaries,HINDHARD
INE083O01019,509650,ZHINDHSG,HINDUSTAN HOUSING CO.LTD.,NM,NM,Financial,Invest.Services,ZHINDHSG
INE871K01015,533217,HMVL,HINDUSTAN MEDIA VENTURES LTD.,HMVL,Hindustan Media Ventures Limited,Services,Publishing,HMVL
INE253A01025,500500,HINDMOTORS,HINDUSTAN MOTORS LTD.,HINDMOTORS,Hindustan Motors Limited,Automobile,Cars & Multi Utility Vehicles,HINDMOTORS
INE345A01011,500186,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,HINDOILEXP,Hindustan Oil Exploration Company Limited,Energy,Crude Oil & Natural Gas,HINDOILEXP
INE048A01011,500449,HOCL,HINDUSTAN ORGANIC CHEMICALS LTD.,HOCL,Hindustan Organic Chemicals Limited,Chemicals,Organic Chemicals,HOCL
INE094A01015,500104,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,HINDPETRO,Hindustan Petroleum Corporation Limited,Energy,Crude Oil & Natural Gas,HINDPETRO
INE428D01019,530315,HINDTIN,HINDUSTAN TIN WORKS LTD.-$,HINDTINWRK,Hindustan Tin Works Ltd,Metals,Other Non-Ferrous Metal,HINDTIN
INE030A01027,500696,HINDUNILVR,HINDUSTAN UNILEVER LTD.,HINDUNILVR,Hindustan Unilever Limited,FMCG,Cosmetics & Toiletries,HINDUNILVR
INE075C01010,504713,HINDWRS,HINDUSTAN WIRES LTD.,NM,NM,Metals,Steel Wires,HINDWRS
INE267A01025,500188,HINDZINC,HINDUSTAN ZINC LTD.,HINDZINC,Hindustan Zinc Limited,Metals,Other Non-Ferrous Metal,HINDZINC
INE952A01022,515145,HINDNATGLS,HINDUSTHAN NATIONAL GLASS &amp; INDUSTRIES LTD.-$,HINDNATGLS,Hindusthan National Glass & Industries Limited,Construction,Glass & Glassware,HINDNATGLS
INE324N01019,537524,HSGIL,Hindusthan Safety Glass Industries Ltd,NM,NM,Construction,Glass & Glassware,HSGIL
INE582K01018,513039,ZHINUDYP,HINDUSTHAN UDYOG LTD.,NM,NM,Metals,Structurals,ZHINUDYP
INE963A01011,530853,HIPOLIN,HIPOLIN LTD.,NM,NM,FMCG,Soaps & Detergents,HIPOLIN
,531743,HIRAUTO,HIRA AUTOMOBILES LTD.,NM,NM,Metals,Steel Tubes & Pipes,HIRAUTO
INE598C01011,590018,HISARMET,HISAR METAL INDUSTRIES LTD.-$,NM,NM,Metals,Other Metal prod.,HISARMET
INE689E01014,521068,HISARSP,HISAR SPINNING MILLS LTD.,NM,NM,Textiles,Cotton & Blended Yarn,HISARSP
INE309B01023,532359,HITKITGLO,HIT KIT GLOBAL SOLUTIONS LTD.,NM,NM,Technology,Computer Software,HITKITGLO
INE782A01015,523398,HITACHIHOM,HITACHI HOME AND LIFE SOLUTIONS (INDIA) LTD.,HITACHIHOM,Hitachi Home and Life Solutions (India) Limited,Cons Durable,ACs & Refrigerators,HITACHIHOM
