ISIN_No,BSE_Scrip_Code,BSE_Scrip_Id,BSE_Scrip_Name,NSE_ID,Nse_Name,Sector,Industry,Quandl_Code
INE144J01027,533022,20MICRONS,20 MICRONS LTD.,20MICRONS,20 Microns Limited,Metals,Mining,20MICRONS
INE748C01020,532628,3IINFOTECH,3I INFOTECH LTD.,3IINFOTECH,3i Infotech Limited,Technology,Computer Software,3IINFOTECH
INE470A01017,523395,3MINDIA,3M INDIA LTD.,3MINDIA,3M India Limited,Diversified,Diversified,3MINDIA
INE454F01010,590116,7SEAS,7Seas Technologies Ltd-$,NM,NM,Technology,Computer Software,7SEAS
INE650K01013,512161,8KMILES,8K MILES SOFTWARE SERVICES LTD.,8KMILES,8K Miles Software Services Limited,Technology,Computer Software,8KMILES
INE663P01015,538351,AFEL,A.F. Enterprises Ltd,NM,NM,Financial,Invest.Services,AFEL
INE701G01012,530499,AKCAPIT,A.K.CAPITAL SERVICES LTD.,NM,NM,Financial,Hire Purchase,AKCAPIT
INE619I01012,533292,A2ZINFRA,A2Z Infra Engineering Limited,A2ZINFRA,A2Z INFRA ENGINEERING LIMITED,Engineering,Electronic Equipts.,A2ZINFRA
INE063D01022,531611,AADHAARVEN,AADHAAR VENTURES INDIA LTD.,NM,NM,Financial,Equipt.Leasing,AADHAARVEN
INE563D01013,530027,AADIIND,AADI INDUSTRIES LTD.,NM,NM,Financial,Hire Purchase,AADIIND
INE817D01013,531866,AAGAMCAP,AAGAM CAPITAL LTD.,NM,NM,Financial,Misc. Fin.services,AAGAMCAP
INE197R01010,539096,AANANDALAK,Aananda Lakshmi Spinning Mills Ltd,NM,NM,Textiles,Textile Processing,AANANDALAK
INE322R01014,538812,AANCHALISP,Aanchal Ispat Ltd,NM,NM,Metals,Stainless Steel,AANCHALISP
INE198H01019,524412,AREYDRG,AAREY DRUGS &amp; PHARMACEUTICALS LTD.,NM,NM,Healthcare,Drugs & Pharma,AREYDRG
INE767A01016,524348,AARTIDRUGS,AARTI DRUGS LTD.,AARTIDRUGS,Aarti Drugs Limited,Healthcare,Drugs & Pharma,AARTIDRUGS
INE769A01020,524208,AARTIIND,AARTI INDUSTRIES LTD.,AARTIIND,Aarti Industries Limited,Chemicals,Organic Chemicals,AARTIIND
INE273D01019,514274,AARVEEDEN,AARVEE DENIMS &amp; EXPORTS LTD.,AARVEEDEN,Aarvee Denims & Exports Limited,Textiles,Cloth,AARVEEDEN
INE233H01030,531731,AARYAGLOBL,AARYA GLOBAL SHARES AND SECURITIES LTD.,NM,NM,Textiles,Woollen Textiles,AARYAGLOBL
INE847M01011,519319,AASHEE,AASHEE INFOTECH LTD.,NM,NM,Technology,Computer Hardware,AASHEE
INE887D01016,512038,ASWTR,AASWA TRADING &amp; EXPORTS LTD.,NM,NM,Financial,Trading,ASWTR
INE421A01028,523204,ABAN,ABAN OFFSHORE LTD.,ABAN,Aban Offshore Limited,Energy,Offshore Drilling,ABAN
INE117A01022,500002,ABB LTD.,ABB India Limited,ABB,ABB India Limited,Engineering,Switching Equipment,ABB
INE358A01014,500488,ABBOTINDIA,ABBOTT INDIA LTD.,ABBOTINDIA,Abbott India Limited,Healthcare,Drugs & Pharma,ABBOTINDIA
INE779A01011,505665,ABCBEARS,ABC BEARINGS LTD.-$,ANTFRIBEAR,ABC Bearings Ltd,Engineering,Ball Bearings,ABCBEARS
INE173M01012,513119,ABCGAS,ABC GAS (INTERNATIONAL) LTD.,NM,NM,Metals,Copper,ABCGAS
INE125D01011,520123,ABCINDQ,ABC INDIA LTD.-$,NM,NM,Services,Road Transport,ABCINDQ
INE580C01019,520155,ABG,ABG INFRALOGISTICS LTD.,ABGHEAVY,ABG Infralogistics Ltd,Services,Transport Support Services,ABG
INE067H01016,532682,ABGSHIP,ABG SHIPYARD LTD.,ABGSHIP,ABG Shipyard Limited,Services,Shipping,ABGSHIP
INE516F01016,532057,ABHICAP,ABHINAV CAPITAL SERVICES LTD.,NM,NM,Financial,Invest.Services,ABHICAP
INE211D01027,538952,ALFL,Abhinav Leasing &amp; Finance Ltd,NM,NM,Financial,Misc. Fin.services,ALFL
INE004I01017,532831,ABHISHEK,ABHISHEK CORPORATION LTD.,ABHISHEK,Abhishek Corporation Limited,Textiles,Cotton & Blended Yarn,ABHISHEK
INE723C01015,538935,ABHIFIN,Abhishek Finlease Ltd,NM,NM,Financial,Misc. Fin.services,ABHIFIN
INE195I01013,511756,ABIRAFN,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.,NM,NM,Financial,Hire Purchase,ABIRAFN
INE707D01016,526955,ABLBIO,ABL BIOTECHNOLOGIES LTD.,NM,NM,FMCG,Marine Foods,ABLBIO
INE850B01018,531161,ABMKNO,ABM KNOWLEDGEWARE LTD.,NM,NM,Technology,Computer Software,ABMKNO
INE012A01025,500410,ACC,ACC LTD.,ACC,ACC Limited,Construction,Cement,ACC
INE020G01017,532774,AFL,ACCEL FRONTLINE LTD.,AFL,Accel Frontline Limited,Technology,Computer Software,AFL
INE258C01020,517494,ACCEL,ACCEL TRANSMATIC LTD.,NM,NM,Communication,Communication Equipt.,ACCEL
INE793A01012,532268,ACCELYA,Accelya Kale Solutions Limitd,ACCELYA,Accelya Kale Solutions Limited,Technology,Computer Software,ACCELYA
INE051E01017,526347,ACCLAIM,Acclaim Industries Limited,NM,NM,Chemicals,Plastic Packaging goods,ACCLAIM
INE243C01014,530513,ACCURATE,ACCURATE TRANSFORMERS LTD.,NM,NM,Engineering,Transformers,ACCURATE
INE715F01014,530093,ACEEDU,ACE EDUTREND LTD.,NM,NM,Services,Recreational Services,ACEEDU
INE849B01010,531525,ACESOFT,ACE SOFTWARE EXPORTS LTD.-$,NM,NM,Technology,Computer Software,ACESOFT
INE926O01019,536492,ATWL,Ace Tours Worldwide Ltd,NM,NM,Services,Tourism,ATWL
INE860P01025,538570,ACHAL,Achal Investments Ltd,NM,NM,Financial,Invest.Services,ACHAL
INE167B01025,517356,ACIIN,ACI INFOCOM LTD.,NM,NM,Technology,Computer Hardware,ACIIN
INE066C01035,530901,ACIL,ACIL Cotton Industries Limited,NM,NM,Textiles,Cotton & Blended Yarn,ACIL
INE326C01017,530043,ACKNIT,ACKNIT INDUSTRIES LTD.,NM,NM,Textiles,Readymade Garments,ACKNIT
INE055L01013,533330,ACROPETAL,ACROPETAL TECHNOLOGIES LTD.,ACROPETAL,Acropetal Technologies Limited,Technology,BPO Services,ACROPETAL
INE950D01012,513149,ACROW,ACROW INDIA LTD.,NM,NM,Metals,Structurals,ACROW
INE482D01016,524091,ACRYSIL,ACRYSIL LTD.,NM,NM,Chemicals,Other Plastic Prod.,ACRYSIL
INE731H01025,532762,ACE,ACTION CONSTRUCTION EQUIPMENT LTD.,ACE,Action Construction Equipment Limited,Construction,Construction,ACE
INE357A01032,511706,ACTIONFI,ACTION FINANCIAL SERVICES (INDIA) LTD.,NM,NM,Financial,Invest.Services,ACTIONFI
INE423A01024,512599,ADANIENT,ADANI ENTERPRISES LTD.,ADANIENT,Adani Enterprises Limited,Financial,Trading,ADANIENT
INE742F01042,532921,ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Services,Shipping,ADANIPORTS
INE814H01011,533096,ADANIPOWER,ADANI POWER LTD.,ADANIPOWER,Adani Power Limited,Engineering,Power Projects,ADANIPOWER
INE673E01018,538563,ADARSH,Adarsh Mercantile Ltd,NM,NM,Financial,Trading,ADARSH
INE627D01016,526711,ADARSHPL,ADARSH PLANT PROTECT LTD.,NM,NM,Engineering,Other Machinery,ADARSHPL
INE833A01016,523411,ADCINDIA,ADC India Communications Limited-$,KRONECOMM,ADC India Communications Ltd,Communication,Communication Equipt.,ADCINDIA
INE016Q01014,538734,ADCC,ADCC Infocad Ltd,NM,NM,Financial,Business Consultancy,ADCC
INE757C01021,507852,ADDIND,ADDI INDUSTRIES LTD.-$,NM,NM,Textiles,Readymade Garments,ADDIND
INE982B01019,519183,ADFFOODS,ADF FOODS LTD.-$,ADFFOODS,ADF Foods Limited,FMCG,Food Processing,ADFFOODS
INE067R01015,780018,ADHIRAJ,Adhiraj Distributors Ltd,NM,NM,,,ADHIRAJ
INE452L01012,538365,ADHUNIKIND,Adhunik Industries Ltd,NM,NM,Engineering,Wires & cables,ADHUNIKIND
INE400H01019,532727,ADHUNIK,ADHUNIK METALIKS LTD.,ADHUNIK,Adhunik Metaliks Limited,Metals,Finished Steel,ADHUNIK
INE959A01019,530117,ADIFINCHM,ADI FINECHEM LTD.,ADI,Adi Finechem Ltd,Chemicals,Organic Chemicals,ADIFINCHM
INE861N01010,531592,ADIRASA,ADI RASAYAN LTD.,NM,NM,Chemicals,Dyes & Pigments,ADIRASA
INE129D01039,590088,ADINATHBI,ADINATH BIO-LABS LTD.,NM,NM,Healthcare,Drugs & Pharma,ADINATHBI
INE398H01015,532056,ADIEXRE,ADINATH EXIM RESOURCES LTD.,NM,NM,Financial,Invest.Services,ADIEXRE
INE207C01019,514113,ADINATH,ADINATH TEXTILES LTD.,NM,NM,Textiles,Synthetic Yarn,ADINATH
INE605B01016,500057,ABCIL,ADITYA BIRLA CHEMICALS (INDIA) LTD.,ABCIL,Aditya Birla Chemicals (India) Limited,Chemicals,Caustic Soda,ABCIL
INE865C01022,532974,BIRLAMONEY,ADITYA BIRLA MONEY LTD.-$,BIRLAMONEY,Aditya Birla Money Limited,Financial,Invest.Services,BIRLAMONEY
INE069A01017,500303,ABIRLANUVO,ADITYA BIRLA NUVO LTD.,ABIRLANUVO,Aditya Birla Nuvo Limited,Diversified,Diversified,ABIRLANUVO
INE281H01013,522150,ADTYFRG,ADITYA FORGE LTD.,NM,NM,Metals,Castings & Forgings,ADTYFRG
INE570B01012,513513,ADITYA,ADITYA ISPAT LTD.,NM,NM,Metals,Finished Steel,ADITYA
INE172N01012,539056,ADLABS,Adlabs Entertainment Ltd,ADLABS,Adlabs Entertainment Ltd,Services,Recreational Services,ADLABS
INE556D01017,511359,ADMANUM,AD-MANUM FINANCE LTD.,NM,NM,Financial,Equipt.Leasing,ADMANUM
INE853A01022,530431,ADORFO,ADOR FONTECH LTD.-$,NM,NM,Financial,Trading,ADORFO
INE628D01014,523120,ADORMUL,ADOR MULTIPRODUCTS LTD.,NM,NM,FMCG,Cosmetics & Toiletries,ADORMUL
INE045A01017,517041,ADORWELD,ADOR WELDING LTD.,ADORWELD,Ador Welding Limited,Engineering,Welding machinery,ADORWELD
,523031,ADSDIAG,ADS DIAGNOSTIC LTD.,NM,NM,Healthcare,Health Services,ADSDIAG
INE900E01015,521048,ADVLIFE,ADVANCE LIFESTYLES LTD.,NM,NM,Textiles,Cloth,ADVLIFE
INE436N01029,534612,AMTL,ADVANCE METERING TECHNOLOGY LTD.,AMTL,Advance Metering Technology Limited,Engineering,Electrical Machinery,AMTL
INE334N01018,506947,ADVPETR-B,ADVANCE PETROCHEMICALS LTD.,NM,NM,Chemicals,Organic Chemicals,ADVPETRB
INE009D01017,531047,ADVPOWER,Advance PowerInfra Tech Limited,NM,NM,Energy,Electricity Generation,ADVPOWER
INE903C01013,517552,ADVNCMIC,ADVANCED MICRONIC DEVICES LTD.-$,NM,NM,Engineering,Electronic Equipts.,ADVNCMIC
INE199C01026,523269,ADVANIHOTR,ADVANI HOTELS &amp; RESORTS (INDIA) LTD.,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Services,Hotels & Restaurants,ADVANIHOTR
INE517H01028,532840,ADVANTA,Advanta Limited,ADVANTA,Advanta Limited,FMCG,Vegetable oils,ADVANTA
INE908D01010,531429,ADVENT,ADVENT COMPUTER SERVICES LTD.,NM,NM,Technology,Computer Software,ADVENT
INE537C01019,531686,ADVIKLA,ADVIK LABORATORIES LTD.,NM,NM,Healthcare,Drugs & Pharma,ADVIKLA
INE208C01017,500003,AEGISLOG,AEGIS LOGISTICS LTD.,AEGISCHEM,Aegis Logistics Limited,Services,Transport Support Services,AEGISLOG
INE796A01023,530707,AFTEK,AFTEK LTD.,AFTEK,Aftek Limited,Technology,Computer Software,AFTEK
INE204E01012,531921,AGARIND,AGARWAL INDUSTRIAL CORPORATION LTD.,AGARIND,Agarwal Industrial Corporation Limited,Services,Road Transport,AGARIND
INE676A01019,500463,AGCNET,AGC Networks Limited,AGCNET,AGC Networks Limited,Communication,Communication Equipt.,AGCNET
INE976R01017,539042,AGIIL,AGI Infra Ltd,NM,NM,Construction,Infrastructure,AGIIL
INE112C01011,516020,AGIOPAPER,AGIO PAPER &amp; INDUSTRIES LTD.-$,NM,NM,FMCG,Paper,AGIOPAPER
INE449G01018,537292,AGRITECH,Agri- Tech (India) Ltd,AGRITECH,Agri-Tech (India) Limited,FMCG,Other Agri.prod.,AGRITECH
INE567P01018,537492,AGRIMONY,Agrimony Commodities Ltd,NM,NM,Financial,Trading,AGRIMONY
INE135B01014,519281,AGRODUTCH,AGRO DUTCH INDUSTRIES LTD.,AGRODUTCH,Agro Dutch Industries Limited,FMCG,Other Agri.prod.,AGRODUTCH
INE209A01019,500215,ATFL,AGRO TECH FOODS LTD.,ATFL,Agro Tech Foods Limited,FMCG,Vegetable oils,ATFL
INE758C01029,532811,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,AHLUCONT,Ahluwalia Contracts (India) Limited,Construction,Construction,AHLUCONT
INE200A01026,522273,AHMDSTE,AHMEDABAD STEELCRAFT LTD.,NM,NM,Metals,Finished Steel,AHMDSTE
INE425A01011,513335,AHMEDFORGE,AHMEDNAGAR FORGINGS LTD.,AHMEDFORGE,Ahmednagar Forgings Limited,Metals,Other Industrial Products,AHMEDFORGE
INE768E01024,532806,AICHAMP,AI CHAMPDANY INDUSTRIES LTD.,AICHAMP,AI Champdany Industries Limited,Textiles,Jute prod.,AICHAMP
INE212H01026,532683,AIAENG,AIA ENGINEERING LTD.,AIAENG,AIA Engineering Limited,Metals,Castings & Forgings,AIAENG
INE739N01026,506822,AIPCL,Aikyam Intellectual Property Consultancy Limited,NM,NM,Chemicals,Commodity Chemicals,AIPCL
INE008B01013,524288,AIMCOPEST,AIMCO PESTICIDES LTD.,AIMCOPEST,Aimco Pesticides Ltd,Chemicals,Pesticides,AIMCOPEST
INE091G01018,532975,AISHWARYA,AISHWARYA TELECOM LTD.,NM,NM,Communication,Communication Equipt.,AISHWARYA
INE031B01049,532331,AJANTPHARM,AJANTA PHARMA LTD.,AJANTPHARM,Ajanta Pharma Limited,Healthcare,Drugs & Pharma,AJANTPHARM
INE601B01015,519216,AJANTSOY,AJANTA SOYA LTD.,NM,NM,FMCG,Vanaspati,AJANTSOY
INE953B01010,511692,AJCON,AJCON GLOBAL SERVICES LTD.,NM,NM,Financial,Invest.Services,AJCON
INE229B01015,530713,AJEL,AJEL LTD.,NM,NM,Technology,Computer Software,AJEL
INE298G01027,513349,AJMERA,AJMERA REALTY &amp; INFRA INDIA LTD.,AJMERA,Ajmera Realty & Infra India Limited,Construction,Infrastructure,AJMERA
INE863E01015,526628,AJWAFUN,AJWA FUN WORLD &amp; RESORT LTD.,NM,NM,Services,Recreational Services,AJWAFUN
INE834D01018,530621,AKARTOOL,AKAR TOOLS LTD.,NM,NM,Engineering,Machine Tools,AKARTOOL
INE473L01018,538778,AKASHDEEP,Akashdeep Metal Industries Ltd,NM,NM,Financial,Invest.Services,AKASHDEEP
INE526R01010,539017,ASHFL,Akme Star Housing Finance Ltd,NM,NM,Financial,Misc. Fin.services,ASHFL
INE523B01011,532351,AKSHOPTFBR,AKSH OPTIFIBRE LTD.,AKSHOPTFBR,Aksh Optifibre Limited,Engineering,Wires & cables,AKSHOPTFBR
INE875N01010,524598,AKSCHEM-$,AKSHARCHEM (INDIA) LTD.-$,NM,NM,Chemicals,Dyes & Pigments,AKSCHEM
INE133A01011,500710,AKZOINDIA,Akzo Nobel India Limited,AKZOINDIA,Akzo Nobel India Limited,Chemicals,Paints & Varnishes,AKZOINDIA
INE200P01016,535916,ALSL,Alacrity Securities Ltd,NM,NM,Financial,Invest.Services,ALSL
INE273F01014,539115,ALAN SCOTT,Alan Scott Industries Ltd,NM,NM,Textiles,Readymade Garments,ALANSCOTT
INE914E01024,531082,ALANKIT,Alankit Ltd,ALANKIT,Alankit Ltd,Cons Durable,Gems & Jewellery,ALANKIT
INE155C01010,524075,ALBERTDA,ALBERT DAVID LTD.-$,NM,NM,Healthcare,Drugs & Pharma,ALBERTDA
INE057D01016,531409,ALCHCORP,ALCHEMIST CORPORATION LTD.,NM,NM,FMCG,Cosmetics & Toiletries,ALCHCORP
INE964B01033,526707,ALCHEM,ALCHEMIST LTD.,ALCHEM,Alchemist Limited,Financial,Trading,ALCHEM
INE490B01013,532114,AREALTY,ALCHEMIST REALTY LTD.,NM,NM,FMCG,Paper,AREALTY
INE426A01027,506235,ALEMBICLTD,ALEMBIC LTD.,ALEMBICLTD,Alembic Limited,Healthcare,Drugs & Pharma,ALEMBICLTD
INE901L01018,533573,APLLTD,ALEMBIC PHARMACEUTICALS LTD.,APLLTD,Alembic Pharmaceuticals Limited,Healthcare,Drugs & Pharma,APLLTD
INE260E01014,530973,ALFAICA,ALFA ICA (INDIA) LTD.,NM,NM,Chemicals,Other Plastic Prod.,ALFAICA
INE035C01022,517546,ALFATRAN,ALFA TRANSFORMERS LTD.,NM,NM,Engineering,Transformers,ALFATRAN
INE883B01019,531156,ALFAVIO,ALFAVISION OVERSEAS (INDIA) LTD.,NM,NM,Financial,Hire Purchase,ALFAVIO
INE782D01027,505216,ALFREDHE,ALFRED HERBERT (INDIA) LTD.,ALFREDHERB,Alfred Herbert (India) Ltd,Engineering,Machine Tools,ALFREDHE
INE062D01024,531147,ALICON,Alicon Castalloy Limited,ALICON,Alicon Castalloy Limited,Metals,Aluminium Prod.,ALICON
INE963D01015,531581,ALKADIA,ALKA DIAMOND INDUSTRIES LTD.,NM,NM,Cons Durable,Gems & Jewellery,ALKADIA
INE061B01020,530889,ALKA,ALKA INDIA LTD.,NM,NM,Textiles,Cotton & Blended Yarn,ALKA
INE921C01031,532166,ALKASEC,ALKA SECURITIES LTD.,NM,NM,Financial,Misc. Fin.services,ALKASEC
INE773I01017,533029,ALKALI,ALKALI METALS LTD.,ALKALI,Alkali Metals Limited,Metals,Metal Tanks & Fabrications,ALKALI
INE150B01021,506767,ALKYLAMINE,ALKYL AMINES CHEMICALS LTD.-$,ALKYLAMINE,Alkyl Amines Chemicals Limited,Chemicals,Organic Chemicals,ALKYLAMINE
INE428A01015,532480,ALBK,ALLAHABAD BANK,ALBK,Allahabad Bank,Financial,Banking,ALBK
INE418H01029,532749,ALLCARGO,ALLCARGO LOGISTICS LTD.,ALLCARGO,Allcargo Logistics Limited,Services,Transport Support Services,ALLCARGO
INE123D01016,534064,AIML,ALLIANCE INTEGRATED METALIKS LTD.,NM,NM,Metals,Stainless Steel,AIML
INE180G01019,532919,ACIASIA,ALLIED COMPUTERS INTERNATIONAL (ASIA) LTD.,NM,NM,Technology,Computer Hardware,ACIASIA
INE102I01027,532875,ADSL,ALLIED DIGITAL SERVICES LTD.,ADSL,Allied Digital Services Limited,Technology,Computer Software,ADSL
INE835G01018,532633,ALLSEC,ALLSEC TECHNOLOGIES LTD.,ALLSEC,Allsec Technologies Limited,Technology,BPO Services,ALLSEC
INE326B01027,531400,ALMONDZ,ALMONDZ GLOBAL SECURITIES LTD.,ALMONDZ,Almondz Global Securities Limited,Financial,Invest.Services,ALMONDZ
INE820M01018,506120,ALNATRD,ALNA TRADING &amp; EXPORTS LTD.,NM,NM,FMCG,Food Processing,ALNATRD
INE270A01011,521070,ALOKTEXT,ALOK INDUSTRIES LTD.,ALOKTEXT,Alok Industries Limited,Textiles,Cloth,ALOKTEXT
INE385I01010,532878,ALPA,ALPA LABORATORIES LTD.,ALPA,Alpa Laboratories Limited,Healthcare,Drugs & Pharma,ALPA
INE952B01020,531720,ALPGRAPH,ALPHA GRAPHIC INDIA LTD.,NM,NM,Textiles,Textile Machinery,ALPGRAPH
INE506B01016,531247,ALPHA,ALPHA HI-TECH FUEL LTD.,NM,NM,Energy,Electricity Generation,ALPHA
INE137C01018,526397,ALPHAGEO,ALPHAGEO (INDIA) LTD.-$,ALPHAGEO,Alphageo (India) Limited,Financial,Business Consultancy,ALPHAGEO
INE999B01013,526519,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,ALPINEHOU,Alpine Housing Development Corporation Ltd,Construction,Real Estate,ALPINEHOU
INE093B01015,530715,ALPSINDUS,ALPS INDUSTRIES LTD.,ALPSINDUS,Alps Industries Limited,Textiles,Misc.Textiles,ALPSINDUS
INE729P01022,538423,ALPSMOTOR,Alps Motor Finance Ltd,NM,NM,Financial,Misc. Fin.services,ALPSMOTOR
INE878A01011,532309,AIL,ALSTOM India Ltd,AIL,Alstom India Limited,Construction,Infrastructure,AIL
INE200A01026,522275,ALSTOMT&amp;D,ALSTOM T&amp;D INDIA LTD.,ALSTOMT&D,Alstom T&D India Limited,Engineering,Switching Equipment,ALSTOMTD
INE102E01018,524634,ALUFLUOR,ALUFLUORIDE LTD.,NM,NM,Chemicals,Inorganic Chem.,ALUFLUOR
INE327C01023,513309,ALUMECO,ALUMECO INDIA EXTRUSION LTD.-$,NM,NM,Metals,Aluminium Prod.,ALUMECO
INE841D01013,506597,AMAL,AMAL LTD.,NM,NM,Chemicals,Dyes & Pigments,AMAL
INE754D01018,512008,AMANITRA,AMANI TRADING &amp; EXPORTS LTD.,NM,NM,Financial,Trading,AMANITRA
INE885A01032,500008,AMARAJABAT,AMARA RAJA BATTERIES LTD.,AMARAJABAT,Amara Raja Batteries Limited,Engineering,Storage Batteries,AMARAJABAT
INE484D01012,521097,AMARJOTHI,AMARJOTHI SPINNING MILLS LTD.,AMARJOTHI,Amarjothi Spinning Mills Ltd,Textiles,Cotton & Blended Yarn,AMARJOTHI
INE745P01010,538465,AMARSEC,Amarnath Securities Ltd,NM,NM,Financial,Misc. Fin.services,AMARSEC
INE432A01017,500009,AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,AMBASARABH,Ambalal Sarabhai Enterprises Ltd,Healthcare,Drugs & Pharma,AMBALALSA
INE792B01012,532335,AMBICAAGAR,AMBICA AGARBATHIES &amp; AROMA INDUSTRIES LTD.,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,Financial,Trading,AMBICAAGAR
INE540G01014,531978,AMBIKCO,AMBIKA COTTON MILLS LTD.,AMBIKCO,Ambika Cotton Mills Limited,Textiles,Cotton & Blended Yarn,AMBIKCO
INE267C01013,526439,AMBIT,AMBITIOUS PLASTOMAC COMPANY LTD.,NM,NM,Financial,Trading,AMBIT
INE079A01024,500425,AMBUJACEM,AMBUJA CEMENTS LTD.,AMBUJACEM,Ambuja Cements Limited,Construction,Cement,AMBUJACEM
INE924B01011,530133,AMCOIND,AMCO INDIA LTD.-$,NM,NM,Metals,Aluminium Prod.,AMCOIND
INE005I01014,532828,AMDIND,AMD INDUSTRIES LTD.,AMDIND,AMD Industries Limited,Metals,Aluminium Prod.,AMDIND
INE173M01012,513117,AMFORG,AMFORGE INDUSTRIES LTD.,AMFORGEIND,Amforge Industries Ltd,Automobile,Auto Ancillaries,AMFORG
INE275D01022,506248,AMNPLST,AMINES &amp; PLASTICIZERS LTD.,NM,NM,Chemicals,Organic Chemicals,AMNPLST
INE053D01015,531300,AMITINT,AMIT INTERNATIONAL LTD.,NM,NM,Textiles,Misc.Textiles,AMITINT
INE371M01012,531557,AMITSEC,AMIT SECURITIES LTD.,NM,NM,Financial,Hire Purchase,AMITSEC
INE988A01026,521076,ASIL,AMIT SPINNING INDUSTRIES LTD.,ASIL,Amit Spinning Industries Limited,Textiles,Cotton & Blended Yarn,ASIL
INE673C01020,531681,AMARDEE,AMRADEEP INDUSTRIES LTD.,NM,NM,Chemicals,Plastic Sheets,AMARDEE
INE218P01018,536737,ACFSL,Amrapali Capital and Finance Services Ltd,NM,NM,Financial,Misc. Fin.services,ACFSL
INE762C01021,526241,AMRAPLIN,AMRAPALI INDUSTRIES LTD.,NM,NM,Financial,Trading,AMRAPLIN
INE735C01027,531991,AMRAAGRI,AMRAWORLD AGRICO LTD.,NM,NM,Textiles,Cotton & Blended Yarn,AMRAAGRI
INE866E01026,507525,AMRITCORP,AMRIT CORP.LTD.-$,NM,NM,FMCG,Vegetable oils,AMRITCORP
INE098F01023,590006,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$,AMRUTANJAN,Amrutanjan Health Care Limited,Healthcare,Drugs & Pharma,AMRUTANJAN
INE812P01018,538861,AMSONS,Amsons Apparels Ltd,NM,NM,Textiles,Cloth,AMSONS
INE130C01021,520077,AMTEKAUTO,AMTEK AUTO LTD.-$,AMTEKAUTO,Amtek Auto Limited,Automobile,Auto Ancillaries,AMTEKAUTO
INE068D01021,532282,AMTEKINDIA,AMTEK INDIA LTD.-$,AMTEKINDIA,Amtek India Limited,Automobile,Auto Ancillaries,AMTEKINDIA
INE126J01016,531761,AMULEAS,AMULYA LEASING &amp; FINANCE LTD.,NM,NM,Financial,Equipt.Leasing,AMULEAS
,501630,ANANDPROJ,Anand Projects Ltd,NM,NM,Financial,Misc. Fin.services,ANANDPROJ
INE242C01024,515055,ANANTRAJ,Anant Raj Limited-$,ANANTRAJ,Anant Raj Limited,Construction,Real Estate,ANANTRAJ
INE151O01014,526833,ANNTHMS,ANANTHI CONSTRUCTIONS LTD.,NM,NM,Construction,Infrastructure,ANNTHMS
INE148B01025,531127,ANARINDUS,ANAR INDUSTRIES LTD.,NM,NM,Financial,Invest.Services,ANARINDUS
INE434A01013,532418,ANDHRABANK,ANDHRA BANK,ANDHRABANK,Andhra Bank,Financial,Banking,ANDHRABANK
INE666E01012,532141,ANDHRACEMT,ANDHRA CEMENTS LTD.,ANDHRACEMT,Andhra Cements Limited,Construction,Cement,ANDHRACEMT
INE714B01016,500012,ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,ANDHRAPET,Andhra Petrochemicals Ltd,Chemicals,Organic Chemicals,ANDHRAPET
INE715B01013,590062,ANDHRSUGAR,ANDHRA SUGARS LTD.,ANDHRSUGAR,The Andhra Sugars Limited,FMCG,Sugar,ANDHRSUGAR
INE983C01015,526173,ANDREWYU,ANDREW YULE &amp; COMPANY LTD.,ANDREWYULE,Andrew Yule & Company Ltd,FMCG,Tea & Coffee,ANDREWYU
INE017D01010,530721,ANGIND,ANG Industries Limited,ANGIND,ANG Industries Limited,Automobile,Auto Ancillaries,ANGIND
INE634J01019,538541,ANGL,Angels Enterprises Ltd,NM,NM,Financial,Trading,ANGL
INE087B01017,519383,ANIKINDS,ANIK INDUSTRIES LTD.,ANIKINDS,Anik Industries Limited,FMCG,Vegetable oils,ANIKINDS
INE125E01019,532910,ANILLTD,ANIL LTD.,NM,NM,Chemicals,Chemical Extraction,ANILLTD
INE904B01013,504629,ANILSPL,ANIL SPECIAL STEEL INDUSTRIES LTD.-$,ASILIND,Anil Special Steel Industries Ltd,Metals,Finished Steel,ANILSPL
INE084Q01012,537785,ANISHAIMPEX,Anisha Impex Ltd,NM,NM,Services,Storage & Distribn.,ANISHAIMPEX
INE363D01018,521131,ANJANIDHAM,ANJANI DHAM INDUSTRIES LTD.,NM,NM,Textiles,Cloth,ANJANIDHAM
INE283D01018,531878,ANJANIFIN,ANJANI FINANCE LTD.,NM,NM,Financial,Hire Purchase,ANJANIFIN
INE071F01012,518091,APCL,ANJANI PORTLAND CEMENT LTD.-$,NM,NM,Construction,Cement,APCL
INE547B01010,531223,ANJANI-$,ANJANI SYNTHETICS LTD.-$,NM,NM,Textiles,Cloth,ANJANI
INE559F01016,531673,ANKIN,ANKA INDIA LTD.,NM,NM,FMCG,Footwear,ANKIN
